FUSSGAENGE,EINBAHN,RADSTREIFE,ONEWAY_FT,ONEWAY_TF,HOEHE_ANFA,HOEHE_ENDE,RADWEG,LOKALISATI,VELOWEGE_M,SHAPE_Leng,ID
1,TF,0,1,0,492.20833875000,508.36762933000,0,Hofstrasse,1,118.26945700900,9448
1,0,0,0,0,450.93375000000,449.17694500000,0,Hintereggweg,1,23.82397479990,9449
1,0,0,0,0,591.88541750000,590.14405300000,0,SchlÃ¶ssliweg,0,102.02068928700,9450
1,0,0,0,0,587.05986782000,591.43682470000,0,Sagentobelstrasse / Parkplatz Masoalahalle 10,0,81.52646335350,9451
1,0,FT,0,0,450.23648050000,451.16600500000,0,Owenweg,0,41.42851956720,9452
0,0,0,0,0,408.52485500000,408.32623982000,0,Ernastrasse,0,85.43426347230,9453
1,0,0,0,0,490.95408864000,490.95792877000,0,Giblenstrasse,1,6.82832720888,9454
1,0,0,0,0,492.53459500000,503.83127437000,0,Hegibachstrasse,0,135.25935689900,9455
0,0,0,0,0,431.63467000000,432.82669000000,0,NÃ¤fgasse,0,63.38089192280,9456
0,0,0,0,0,406.01851600000,406.79618936000,0,KnÃ¼slistrasse,0,51.47357200860,9457
1,0,0,0,0,411.22564800000,411.21794338000,0,Anny-Klawa-Platz,0,61.33293759740,9458
1,0,0,0,0,598.21629217000,599.39748363000,0,Parkplatz Masoalahalle,0,47.50748222220,9459
1,0,0,0,0,599.78767300000,597.69604450000,0,Parkplatz Masoalahalle,0,73.58824545200,9460
0,0,0,0,0,422.96386806000,427.78739905000,0,ZwischenbÃ¤chen,1,101.96109409500,9461
0,0,0,0,0,436.92410206000,438.10958271000,0,BÃ¼hlwiesenstrasse,0,62.83512793700,9462
0,0,0,0,0,413.66773026000,413.77625667000,0,Aegertenstrasse,0,21.16536409860,9463
0,0,0,0,0,530.18176100000,533.71386947000,0,Waserstrasse,1,26.40285631030,9464
0,0,0,0,0,519.51519050000,524.77731892000,0,Rehalpstrasse,1,127.91244023900,9465
0,TF,0,1,0,441.75404000000,444.35808425000,0,Pfirsichstrasse,0,135.85526895400,9466
1,0,0,0,0,450.49461759000,450.52125350000,0,Nettie-Sutro-Strasse,0,7.35152417531,9467
0,0,0,0,0,423.36065750000,426.27056500000,0,Vorhaldenstrasse,0,104.47835766400,9468
0,0,TF,0,0,448.32846250000,448.10747750000,0,Apfelbaumstrasse,1,74.78259263060,9469
0,0,BOTH,0,0,500.57889000000,499.68491000000,0,Geeringstrasse,0,30.68609924920,9470
0,0,0,0,0,516.00724571000,526.77044000000,0,Herzogstrasse,0,173.97382721900,9471
0,0,0,0,0,484.12743308000,484.11745077000,0,Kleinalbis,0,3.73081178373,9472
0,0,0,0,0,399.03090150000,398.76017000000,0,Robert-Seidel-Hof,0,84.08835691230,9473
0,0,0,0,0,441.29545062000,439.18560250000,0,Lindenbachstrasse,0,56.45516213280,9474
0,0,0,0,0,480.94918000000,489.15830813000,0,Goetzstrasse,0,104.89089096700,9475
1,0,0,0,0,484.91484000000,480.25779560000,0,Familiengartenareal Ankenweid 10,0,140.50243358800,9476
0,0,FT,0,0,410.99752700000,410.87973400000,0,Agnesstrasse,1,19.28515146250,9477
0,0,0,0,0,413.37950763000,413.66769573000,0,Zentralstrasse,1,103.15028416500,9478
0,0,0,0,0,604.89263595000,598.95102497000,0,SchÃ¤racher,0,119.34800144100,9479
0,0,0,0,0,444.99109125000,445.14489254000,0,Im St. Blasienhof,0,3.70251805006,9480
1,FT,0,0,1,436.18217088000,436.25887500000,0,SchÃ¶nauring,0,163.84905373400,9481
0,0,0,0,0,432.21456125000,429.53549219000,0,Helen-Keller-Strasse,1,321.32658216400,9482
1,0,0,0,0,417.08350483000,419.56496757000,0,SÃ¼sslerenweg,1,77.50284293720,9483
0,0,0,0,0,427.60235372000,427.68114371000,0,Ueberlandstrasse 265,1,6.95349705365,9484
1,0,0,0,0,459.49451542000,461.38112922000,0,RÃ¶slistrasse,1,18.84326850710,9485
0,TF,0,1,0,417.13611606000,416.07450000000,0,Ginsterstrasse,0,116.29627501100,9486
1,0,0,0,0,463.22665825000,460.84384473000,0,Buhnstrasse,0,47.61523035210,9487
0,TF,0,1,0,442.87673583000,450.28797000000,0,Streulistrasse,0,183.04496585000,9488
0,0,0,0,0,398.88128387000,398.76140087000,0,Werdinsel-BrÃ¼cke 10,1,3.40345636995,9489
0,0,0,0,0,413.33712455000,416.39252000000,0,Sackzelg,0,234.38843082000,9490
0,0,0,0,0,430.71451875000,432.05625375000,0,Trottenstrasse,1,117.40340966300,9491
0,TF,0,1,0,427.30407750000,426.45050500000,0,Hugo-Koblet-Weg,1,165.90539007900,9492
0,TF,0,1,0,442.87673583000,446.61460937000,0,Konkordiastrasse,0,60.43580885560,9493
0,0,0,0,0,506.12803300000,508.26013950000,0,Giacomettistrasse,0,115.61547603300,9494
0,TF,0,1,0,434.68852250000,439.02937900000,0,Freiensteinstrasse,0,74.90136815490,9495
0,0,BOTH,0,0,409.80659896000,408.50494567000,0,Herdernstrasse,1,117.35139003300,9496
1,0,0,0,0,484.97642000000,490.42143400000,0,Im Maas / Jacob-Burckhardt-Strasse 10,0,51.93689568520,9497
1,0,0,0,0,455.07330321000,455.01025350000,0,Im HÃ¼rstholz 275,1,7.45725861523,9498
0,0,0,0,0,410.56535778000,411.58000000000,0,Brahmsstrasse,1,293.11246386600,9499
